ID	K.ERR247139	K.ERR247140	K.ERR247141	K.ERR247142	K.ERR247143	K.ERR247144	K.ERR247145	K.ERR247146	K.ERR247147	K.ERR247148	K.ERR247149	K.ERR247150	K.ERR247153	K.ERR247154	K.ERR247155	K.ERR247156	K.ERR247157	K.ERR247158	K.ERR247159	K.ERR247160	K.ERR247161	K.ERR247162	K.ERR247163	K.ERR247164	K.ERR247165	K.ERR247166	K.ERR247167	K.ERR247168	K.ERR247169	K.ERR247170	K.ERR247171	K.ERR247172	K.ERR247173	K.ERR247174	K.ERR247175	A.ERR247176	x
Sphaerochaeta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018479	0.00037107	0	0	0	0	0	0	0	0	0	0	0	0	
Streptococcus	0.00212144	0.01497755	0	0.00377293	0.00133685	0.00112327	0.00258139	0.00311652	0.03314948	0.00057865	0.00066611	0.00076793	0.00047686	0.00062044	0.00736276	0	0	0	0.00120852	0.00094179	0.00123014	0.00911776	0.00071428	0.0005846	0.00049033	0.00088472	0.00063783	0.0005699	0.00030248	0.00054858	0.00134913	0.00073441	0.00085046	0.00059504	0.00076706	0.00122877	
Subdoligranulum	0.00390904	0.00022869	0.00031952	0.00424105	0.00056237	0.00263336	0.00637564	0.0043971	0.01004178	0.00684074	0.00089481	0.00119761	0.0051461	0.00254978	0.01102114	0	0.00390079	0.00046019	0.00216266	0.00475323	0.00067785	0.00225716	0.00384504	0.00337237	0.00082437	0.00080271	0.00431641	0.00746793	0.00033845	0.00094244	0.00193978	0.00243272	0.00527686	0.00056233	0.00478755	0.0008116	
Sutterella	0.00091684	0	0	0.00258262	0	0	0	0	0	0	0	0.00012335	0.00044196	0	0	0	0	0.00050832	0	0.00270123	0	0	0	0	0	0	0	0.00068838	0.0037297	0.00910439	0	0	0	0.00159545	0	0	
T4likevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02074802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tannerella	0	0	0	0	0.00098479	0.00045963	0	0	0	0	0	0.00059588	0	0	0	0	0	0	0	0	0	0	0	0.00048488	0.00120083	0	0	0	0.00040663	0	0	0	0	0	0	0	
Terrisporobacter	0.00053727	0.0001443	0	0.00041694	0	0.00025786	0.00224908	0.00048575	0	0.00479523	0	0.0001455	0.00011146	0	0.001176	0	0	0	0	0.00010659	0.00064095	0	0.00027377	0	0.00044216	0.00070163	0	0	0.00036208	0.00093646	0.00032521	0	0.00028594	0.0016818	0.00012224	0	
Treponema	0.00073833	0.00048441	0	0	0.0006509	0.00098678	0.00055971	0.0008177	0.00047721	0.00054211	0.00047407	0.00093911	0.00028509	0.00039524	0.00034658	0	0	0.00022049	0.00061328	0.00030204	0.00068977	0.00107949	0.0010341	0.00072702	0.00079199	0.00077021	0.00099017	0.00049705	0.00030711	0	0.00047339	0.00058216	0.00069648	0	0.00056011	0.00040229	
Turicibacter	0	0	0	0	0	0.00067351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00019485	0.00025332	0	0	0	0.00019332	0	0	0	0	0	0	
Tyzzerella	0.00055372	0.00058088	0.00027581	0	0.00054726	0.0004419	0.00057304	0.00089803	0.00087248	0.00029707	0.00030146	0.00036392	0.00025114	0.00039681	0.00104988	0	0	0.00027751	0.00068375	0.00095095	0.00059666	0.00074829	0.00039393	0.00024393	0.00029752	0.00026195	0.00056834	0.0005486	0.02098663	0.00030994	0.0004455	0.00038833	0.00084595	0.00046962	0.00086704	0.00035817	
Ureibacillus	0	0	0	0	0	0	0	0	0	0	0.00037623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Veillonella	0.00532995	0.01644638	0	0.00770949	0.00297096	0	0	0	0.00495262	0.00037895	0	0	0	0	0.00270805	0	0	0	0	0	0	0.00042431	0	0.00016519	0	0	0	0	0	0.00031146	0	0	0.00452771	0	0	0	
Weissella	0	0	0	0	0	0	0	0	0.0005857	0	0	0	0	0	0	0	0	0	8.74E-05	0	0.0006667	0.00025243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
